YEAR,NAMElast,NAMEfirst,BattingAverage,BattingAverageLAG1,CumulativeAverageLAG1
1960,Aaron,Hank,292,355,355
1961,Aaron,Hank,327,292,324
1962,Aaron,Hank,323,327,325
1963,Aaron,Hank,319,323,324
1964,Aaron,Hank,328,319,323
1965,Aaron,Hank,318,328,324
1966,Aaron,Hank,279,318,323
1967,Aaron,Hank,307,279,317
1968,Aaron,Hank,287,307,316
1969,Aaron,Hank,300,287,313
1970,Aaron,Hank,298,300,312
1971,Aaron,Hank,327,298,311
1972,Aaron,Hank,265,327,312
1999,Abreu,Bobby,335,312,293
2000,Abreu,Bobby,316,335,311
2001,Abreu,Bobby,289,316,313
2002,Abreu,Bobby,308,289,307
2003,Abreu,Bobby,300,308,307
2004,Abreu,Bobby,301,300,306
1965,Adair,Jerry,259,248,258
1966,Adair,Jerry,249,259,259
1967,Adair,Jerry,271,249,257
1960,Adcock,Joe,298,292,292
1961,Adcock,Joe,285,298,295
1967,Agee,Tommie,234,273,262
1970,Agee,Tommie,286,271,250
1971,Agee,Tommie,285,286,258
1972,Agee,Tommie,227,285,262
1983,Aikens,Willie,302,281,273
1998,Alfonzo,Edgardo,278,315,288
1999,Alfonzo,Edgardo,304,278,285
2000,Alfonzo,Edgardo,324,304,290
2001,Alfonzo,Edgardo,243,324,296
2002,Alfonzo,Edgardo,308,243,289
2003,Alfonzo,Edgardo,259,308,292
2004,Alfonzo,Edgardo,289,259,288
1963,Allen,Bernie,240,269,269
1965,Allen,Dick,302,318,317
1966,Allen,Dick,317,302,310
1967,Allen,Dick,307,317,312
1968,Allen,Dick,263,307,311
1969,Allen,Dick,288,263,302
1970,Allen,Dick,279,288,300
1971,Allen,Dick,295,279,297
1972,Allen,Dick,308,295,297
1975,Allen,Dick,233,301,299
1966,Alley,Gene,299,252,238
1967,Alley,Gene,287,299,264
1968,Alley,Gene,245,287,271
1960,Allison,Bob,251,261,261
1961,Allison,Bob,245,251,257
1962,Allison,Bob,266,245,253
1963,Allison,Bob,271,266,256
1964,Allison,Bob,287,271,259
1965,Allison,Bob,233,287,263
1968,Allison,Bob,247,258,258
1978,Almon,Bill,252,261,265
1989,Alomar,Roberto,295,266,266
1990,Alomar,Roberto,287,295,282
1991,Alomar,Roberto,295,287,283
1992,Alomar,Roberto,310,295,286
1993,Alomar,Roberto,326,310,291
1996,Alomar,Roberto,328,300,298
1997,Alomar,Roberto,333,328,302
1998,Alomar,Roberto,282,333,304
1999,Alomar,Roberto,323,282,302
2000,Alomar,Roberto,310,323,304
2001,Alomar,Roberto,336,310,304
2002,Alomar,Roberto,266,336,306
2003,Alomar,Roberto,258,266,304
1970,Alomar Sr.,Sandy,251,248,238
1971,Alomar Sr.,Sandy,260,251,243
1972,Alomar Sr.,Sandy,239,260,247
1973,Alomar Sr.,Sandy,238,239,246
1997,Alomar Jr.,Sandy,324,263,270
1998,Alomar Jr.,Sandy,235,324,280
1962,Alou,Felipe,316,289,277
1963,Alou,Felipe,281,316,291
1964,Alou,Felipe,253,281,289
1965,Alou,Felipe,297,253,283
1966,Alou,Felipe,327,297,285
1967,Alou,Felipe,274,327,293
1968,Alou,Felipe,317,274,290
1969,Alou,Felipe,282,317,294
1970,Alou,Felipe,271,282,293
1971,Alou,Felipe,288,271,291
1968,Alou,Jesus,263,292,283
1969,Alou,Jesus,248,263,279
